,노래 제목,랭킹
145,2AM - 이노래,2
146,양다일 - 너를 잊으면,2
147,Madeleine Peyroux - Don`t Wait Too Long,2
148,정승환 - 숲으로 걷는다,2
149,Morten Harket - Can`t Take My Eyes Off You,2
150,홍대광 - 비처럼 fall in love,2
151,임창정 - 하루도 그대를 사랑하지 않은 적이 없었다,2
152,참깨와 솜사탕 - 넌 내가 얼마나 안고 싶은지 모르지,2
153,Crush - 어떻게 지내,2
154,효린 - 더 가까이,2
155,죠지 - let`s go picnic,2
156,"gnash - i hate u, i love u (Feat. olivia o`brien) (Album Ver.)",2
157,Bobby McFerrin - Moondance,2
158,곽진언 - 자랑,2
159,써드 (third) - Ours,2
160,OOSU:HAN (우수한) - 종이비행기,2
161,Kurt Elling - Nature Boy,2
162,자우림 - 미안해 널 미워해,2
163,노을 - 하지 못한 말,2
164,이승기 - 되돌리다,2
165,박보영 - 떠난다,2
166,Gregory Porter - In Fashion,2
167,Coldplay - O,2
168,크래커 (CRACKER) - 그런 날 (Feat. 김호연 of 달 좋은 밤),2
169,차은주 - 사랑은 풍경,2
170,Wouter Hamel - Breezy,2
171,온수 (onsu) - 새벽밤,2
172,Susan Jacks - Evergreen,2
173,Hiromi - Islands Azores,2
174,폴킴 - Say You Love Me (Feat. 오늘),2
175,John Pizzarelli - Alison,2
176,"에피톤 프로젝트 - 봄날, 벚꽃 그리고 너",2
177,아이유 - 사랑이 지나가면,2
178,Lula Galvao - Rio,2
179,Michael Buble - Haven`t Met You Yet,2
180,김필 - 성북동,2
181,린 - 비를 내려줘요,2
182,Olivia Ong - Kiss Me,2
183,Julie London - You`d Be So Nice To Come Home To,2
184,검정치마 - International Love Song,2
185,권진아 - 끝,2
186,거미 - 미안해요 (Feat. T.O.P),2
187,펀치 (Punch) - 오늘밤도,2
188,Ella Fitzgerald - Misty,2
189,샵 - 내입술...따뜻한 커피처럼,2
190,서로의 서로 - 그 때 그 약속은,2
191,김동률 - 사랑한다 말해도 (Feat. 이소라),2
192,제다이 (JEDIII) - 니가 그리운 밤,2
193,Hiromi - Choux A La Creme,2
194,서교동의 밤 - 럭키스타 (Lucky Star) (Feat. 다원),2
195,아이유 - 이름에게,2
196,박지윤 - 바래진 기억에,2
197,CHEEZE (치즈) - 어떻게 생각해,2
198,수지 (SUZY) - Ring My Bell,2
199,어반자카파 - River,2
200,Paul - Good Day,2
201,로이킴 - 우리 그만하자,2
202,스텔라장 (Stella Jang) - Alright,2
203,Adele - Make You Feel My Love,2
204,"Esperanza Spalding, Algebra Blessett - Black Gold (Feat. Algebra Blessett & Lionel Loueke)",2
205,Wynn - LikeMeLoveMe,2
206,offonoff (오프온오프) - homeless door (Feat. Rad Museum),2
207,The Rippingtons - Sainte Maxime,2
